bathrooms,bedrooms,city,country,lat,listing_id,lon,max_occupancy,neighborhood,service_fee,title
1.0,1,Oakland,United States,37.804951,1640040,,2,,0.0,2Stops2SF - Modern space next 12thStBart
2.0,1,Oakland,United States,37.81133,14013609,,2,,0.0,"Sunny, cozy, and convenient"
1.0,1,Oakland,United States,37.80284,31195131,,2,,0.0,Lakeside Retreat
1.0,1,Oakland,United States,37.80697,6766479,,3,,0.0,Downtown Cottage Walk to BART
2.5,1,Oakland,United States,37.8108,27599109,,2,,0.0,Uptown Oasis
1.0,1,Oakland,United States,37.80283,41878549,,2,,0.0,Beautiful Apartment near Lake Merritt with patio.
2.0,1,Oakland,United States,37.80367,41726030,,1,,0.0,Candy room
1.0,1,Oakland,United States,37.80322,10963500,,1,,0.0,"Sunny, Artful  and Close to BART"
1.0,1,Oakland,United States,37.80751,37933542,,2,,0.0,Victorian Garden Condo near Oakland theaters
1.0,0,Oakland,United States,37.80861,27702931,,2,,0.0,"Uptown Oakland Studio near BART, bars,restaurants"
2.0,1,Oakland,United States,37.80356,41726458,,2,,0.0,Honey room
2.0,1,Oakland,United States,37.80505,41725698,,2,,0.0,Sweet room
1.0,1,Oakland,United States,37.80648,37727989,,4,,0.0,TRIBE ❤️ Great Location @ Oakland's Lake Merritt
1.0,1,Oakland,United States,37.81004,8147531,,1,,0.0,Private parlor bedroom in uptown Oakland!
1.0,0,Oakland,United States,37.80717,6808306,,2,,0.0,Cozy Studio Walk to BART
